campaign_id,test_store,control_store,pymc_percentage_diff,z_score_perc_diff_equivalent
WOW20014359_2,,,4.6,
WOW20014359_2,,,1.3,
WOW20014359_2,,,583.2,
WOW20014359_2,1002.0,1191.0,3.5,
WOW20014359_2,1003.0,4389.0,3.5,
WOW20014359_2,1065.0,2607.0,5.2,
WOW20014359_2,1085.0,1102.0,3.7,
WOW20014359_2,1088.0,3244.0,6.8,
WOW20014359_2,1090.0,1172.0,3.8,
WOW20014359_2,1100.0,2514.0,6.8,
WOW20014359_2,1104.0,2603.0,4.9,
WOW20014359_2,1105.0,2673.0,5.3,
WOW20014359_2,1108.0,3155.0,2.7,
WOW20014359_2,1110.0,1348.0,4.9,
WOW20014359_2,1118.0,1063.0,7.7,
WOW20014359_2,1128.0,5601.0,2.4,
WOW20014359_2,1138.0,2519.0,5.7,
WOW20014359_2,1139.0,4386.0,3.8,
WOW20014359_2,1148.0,3281.0,3.0,
WOW20014359_2,1152.0,1288.0,8.8,
WOW20014359_2,1165.0,1625.0,3.1,
WOW20014359_2,1167.0,1253.0,4.3,
WOW20014359_2,1171.0,1409.0,6.8,
WOW20014359_2,1173.0,3137.0,3.0,
WOW20014359_2,1179.0,2674.0,4.9,
WOW20014359_2,1183.0,1162.0,2.6,
WOW20014359_2,1184.0,2625.0,6.1,
WOW20014359_2,1185.0,4365.0,16.7,
WOW20014359_2,1189.0,3105.0,3.2,
WOW20014359_2,1190.0,3263.0,4.7,
WOW20014359_2,1192.0,2674.0,4.8,
WOW20014359_2,1198.0,4318.0,8.6,
WOW20014359_2,1199.0,1216.0,2.1,
WOW20014359_2,1204.0,1632.0,5.0,
WOW20014359_2,1208.0,3216.0,3.9,
WOW20014359_2,1210.0,3395.0,6.0,
WOW20014359_2,1213.0,3092.0,2.8,
WOW20014359_2,1224.0,2630.0,3.9,
WOW20014359_2,1228.0,1372.0,4.6,
WOW20014359_2,1244.0,5608.0,6.4,
WOW20014359_2,1249.0,1133.0,3.1,
WOW20014359_2,1254.0,2751.0,3.7,
WOW20014359_2,1268.0,1178.0,2.5,
WOW20014359_2,1272.0,3164.0,4.9,
WOW20014359_2,1274.0,3317.0,7.7,
WOW20014359_2,1275.0,1442.0,8.0,
WOW20014359_2,1278.0,2515.0,4.5,
WOW20014359_2,1282.0,5674.0,2.9,
WOW20014359_2,1284.0,3272.0,3.4,
WOW20014359_2,1293.0,3074.0,4.3,
WOW20014359_2,1294.0,2687.0,7.3,
WOW20014359_2,1297.0,1579.0,8.8,
WOW20014359_2,1302.0,1685.0,5.3,
WOW20014359_2,1308.0,5702.0,10.5,
WOW20014359_2,1313.0,3996.0,4.2,
WOW20014359_2,1326.0,1034.0,23.2,
WOW20014359_2,1331.0,4365.0,10.9,
WOW20014359_2,1336.0,3149.0,3.1,
WOW20014359_2,1338.0,1106.0,10.5,
WOW20014359_2,1347.0,2514.0,3.6,
WOW20014359_2,1350.0,2614.0,5.5,
WOW20014359_2,1353.0,1160.0,13.3,
WOW20014359_2,1368.0,2710.0,2.4,
WOW20014359_2,1387.0,1253.0,4.6,
WOW20014359_2,1388.0,3286.0,3.3,
WOW20014359_2,1416.0,4995.0,3.7,
WOW20014359_2,1434.0,3392.0,11.4,
WOW20014359_2,1495.0,3337.0,7.5,
WOW20014359_2,1561.0,3227.0,3.4,
WOW20014359_2,1574.0,5018.0,6.4,
WOW20014359_2,1598.0,1335.0,1.9,
WOW20014359_2,1603.0,1052.0,4.0,
WOW20014359_2,1641.0,2548.0,14.8,
WOW20014359_2,1645.0,2744.0,5.1,
WOW20014359_2,1648.0,5621.0,2.7,
WOW20014359_2,1757.0,5621.0,2.4,
WOW20014359_2,1758.0,2555.0,3.4,
WOW20014359_2,1767.0,3923.0,4.6,
WOW20014359_2,1785.0,3058.0,6.4,
WOW20014359_2,1934.0,2673.0,5.5,
WOW20014359_2,1941.0,4381.0,2.7,
WOW20014359_2,1997.0,1061.0,4.6,
WOW20014359_2,2003.0,2644.0,4.0,
WOW20014359_2,2065.0,1409.0,4.7,
WOW20014359_2,2072.0,2843.0,3.4,
WOW20014359_2,2076.0,4621.0,2.9,
WOW20014359_2,2082.0,1178.0,2.5,
WOW20014359_2,2137.0,3214.0,3.5,
WOW20014359_2,2159.0,4327.0,3.5,
WOW20014359_2,2234.0,3105.0,5.2,
WOW20014359_2,2246.0,4082.0,3.1,
WOW20014359_2,2340.0,1624.0,131.9,
WOW20014359_2,2505.0,1327.0,2.9,
WOW20014359_2,2506.0,3321.0,3.9,
WOW20014359_2,2507.0,3287.0,7.5,
WOW20014359_2,2510.0,4388.0,2.9,
WOW20014359_2,2513.0,1101.0,3.7,
WOW20014359_2,2516.0,3809.0,13.0,
WOW20014359_2,2518.0,2650.0,5.0,
WOW20014359_2,2539.0,5646.0,4.7,
WOW20014359_2,2541.0,3203.0,5.0,
WOW20014359_2,2549.0,2502.0,4.7,
WOW20014359_2,2552.0,5618.0,5.1,
WOW20014359_2,2554.0,1231.0,4.4,
WOW20014359_2,2556.0,2667.0,5.1,
WOW20014359_2,2557.0,1685.0,5.3,
WOW20014359_2,2558.0,3053.0,4.8,
WOW20014359_2,2559.0,3369.0,4.5,
WOW20014359_2,2560.0,2633.0,3.5,
WOW20014359_2,2567.0,1195.0,6.7,
WOW20014359_2,2570.0,3672.0,6.1,
WOW20014359_2,2571.0,1327.0,2.5,
WOW20014359_2,2574.0,2508.0,3.2,
WOW20014359_2,2576.0,1150.0,3.5,
WOW20014359_2,2577.0,5687.0,5.0,
WOW20014359_2,2585.0,1135.0,3.9,
WOW20014359_2,2588.0,2173.0,3.1,
WOW20014359_2,2593.0,3250.0,5.5,
WOW20014359_2,2595.0,1341.0,4.0,
WOW20014359_2,2597.0,2752.0,6.9,
WOW20014359_2,2609.0,5636.0,11.1,
WOW20014359_2,2612.0,2664.0,3.4,
WOW20014359_2,2617.0,3229.0,2.8,
WOW20014359_2,2620.0,1307.0,3.1,
WOW20014359_2,2624.0,3923.0,3.8,
WOW20014359_2,2626.0,3345.0,2.6,
WOW20014359_2,2631.0,3280.0,5.3,
WOW20014359_2,2635.0,3216.0,2.7,
WOW20014359_2,2636.0,2692.0,2.9,
WOW20014359_2,2637.0,2759.0,3.6,
WOW20014359_2,2638.0,4376.0,2.9,
WOW20014359_2,2643.0,1129.0,3.0,
WOW20014359_2,2651.0,4431.0,4.2,
WOW20014359_2,2653.0,2259.0,3.2,
WOW20014359_2,2655.0,3244.0,5.2,
WOW20014359_2,2658.0,1236.0,4.4,
WOW20014359_2,2661.0,1136.0,3.3,
WOW20014359_2,2662.0,1573.0,5.5,
WOW20014359_2,2668.0,2843.0,3.6,
WOW20014359_2,2670.0,2687.0,5.2,
WOW20014359_2,2680.0,1172.0,2.5,
WOW20014359_2,2685.0,1332.0,6.6,
WOW20014359_2,2690.0,1107.0,5.3,
WOW20014359_2,2699.0,1680.0,2.7,
WOW20014359_2,2704.0,3119.0,3.1,
WOW20014359_2,2712.0,2596.0,7.6,
WOW20014359_2,2714.0,2939.0,2.8,
WOW20014359_2,2727.0,1091.0,3.6,
WOW20014359_2,2732.0,4381.0,4.2,
WOW20014359_2,2741.0,1659.0,6.2,
WOW20014359_2,2742.0,4390.0,3.9,
WOW20014359_2,2762.0,3240.0,3.1,
WOW20014359_2,2764.0,3603.0,4.9,
WOW20014359_2,2797.0,1579.0,6.3,
WOW20014359_2,2829.0,5687.0,2.5,
WOW20014359_2,2848.0,2140.0,6.9,
WOW20014359_2,2853.0,2074.0,5.9,
WOW20014359_2,2883.0,5600.0,7.7,
WOW20014359_2,2900.0,3301.0,3.8,
WOW20014359_2,3034.0,5317.0,5.2,
WOW20014359_2,3060.0,3308.0,3.4,
WOW20014359_2,3061.0,2304.0,6.4,
WOW20014359_2,3066.0,2628.0,4.3,
WOW20014359_2,3072.0,1159.0,2.9,
WOW20014359_2,3100.0,1392.0,4.1,
WOW20014359_2,3101.0,1956.0,3.6,
WOW20014359_2,3108.0,2766.0,7.8,
WOW20014359_2,3116.0,5602.0,4.3,
WOW20014359_2,3118.0,3185.0,3.3,
WOW20014359_2,3121.0,2760.0,3.5,
WOW20014359_2,3123.0,2050.0,4.1,
WOW20014359_2,3135.0,2657.0,3.6,
WOW20014359_2,3142.0,3996.0,5.2,
WOW20014359_2,3143.0,3290.0,4.3,
WOW20014359_2,3146.0,1226.0,7.8,
WOW20014359_2,3147.0,3138.0,5.3,
WOW20014359_2,3148.0,2502.0,5.4,
WOW20014359_2,3151.0,7011.0,6.6,
WOW20014359_2,3165.0,1203.0,2.2,
WOW20014359_2,3167.0,2697.0,5.2,
WOW20014359_2,3171.0,2616.0,2.2,
WOW20014359_2,3173.0,2501.0,7.2,
WOW20014359_2,3176.0,2951.0,5.6,
WOW20014359_2,3183.0,3203.0,8.0,
WOW20014359_2,3184.0,1479.0,4.0,
WOW20014359_2,3188.0,3209.0,8.0,
WOW20014359_2,3189.0,2174.0,3.8,
WOW20014359_2,3196.0,3273.0,6.2,
WOW20014359_2,3197.0,1097.0,7.6,
WOW20014359_2,3201.0,3304.0,7.0,
WOW20014359_2,3208.0,4418.0,4.7,
WOW20014359_2,3266.0,3716.0,4.2,
WOW20014359_2,3275.0,2509.0,17.3,
WOW20014359_2,3278.0,3672.0,3.7,
WOW20014359_2,3283.0,4603.0,9.5,
WOW20014359_2,3285.0,4363.0,3.1,
WOW20014359_2,3289.0,1389.0,2.9,
WOW20014359_2,3293.0,3160.0,2.9,
WOW20014359_2,3298.0,2052.0,4.1,
WOW20014359_2,3310.0,4327.0,3.4,
WOW20014359_2,3318.0,5668.0,5.8,
WOW20014359_2,3320.0,4610.0,8.7,
WOW20014359_2,3324.0,2697.0,9.3,
WOW20014359_2,3325.0,1389.0,3.0,
WOW20014359_2,3339.0,4431.0,5.2,
WOW20014359_2,3352.0,1236.0,2.7,
WOW20014359_2,3354.0,5643.0,2.3,
WOW20014359_2,3361.0,1206.0,7.2,
WOW20014359_2,3393.0,3290.0,4.8,
WOW20014359_2,3400.0,1133.0,3.8,
WOW20014359_2,3567.0,4323.0,5.7,
WOW20014359_2,3604.0,3311.0,7.7,
WOW20014359_2,3670.0,5664.0,5.5,
WOW20014359_2,3714.0,3716.0,3.0,
WOW20014359_2,3803.0,1419.0,2.7,
WOW20014359_2,3804.0,3271.0,3.2,
WOW20014359_2,3805.0,4326.0,5.3,
WOW20014359_2,3806.0,1181.0,11.3,
WOW20014359_2,3813.0,4363.0,3.1,
WOW20014359_2,4049.0,2750.0,2.7,
WOW20014359_2,4054.0,1766.0,10.5,
WOW20014359_2,4306.0,4376.0,1.7,
WOW20014359_2,4313.0,2744.0,4.8,
WOW20014359_2,4317.0,2692.0,4.6,
WOW20014359_2,4322.0,3223.0,6.8,
WOW20014359_2,4328.0,3150.0,1.7,
WOW20014359_2,4330.0,2540.0,5.9,
WOW20014359_2,4335.0,1150.0,3.8,
WOW20014359_2,4336.0,3153.0,5.6,
WOW20014359_2,4343.0,1161.0,6.9,
WOW20014359_2,4348.0,1129.0,2.7,
WOW20014359_2,4352.0,1415.0,2.3,
WOW20014359_2,4357.0,1470.0,9.1,
WOW20014359_2,4360.0,5664.0,5.3,
WOW20014359_2,4361.0,1144.0,2.6,
WOW20014359_2,4366.0,2782.0,5.3,
WOW20014359_2,4370.0,4364.0,4.0,
WOW20014359_2,4373.0,4339.0,2.6,
WOW20014359_2,4374.0,4314.0,6.7,
WOW20014359_2,4375.0,4386.0,4.8,
WOW20014359_2,4382.0,4316.0,5.2,
WOW20014359_2,4385.0,2667.0,6.6,
WOW20014359_2,4391.0,4390.0,3.4,
WOW20014359_2,4394.0,5098.0,3.6,
WOW20014359_2,4395.0,1207.0,4.6,
WOW20014359_2,4398.0,3369.0,6.3,
WOW20014359_2,4399.0,1273.0,2.6,
WOW20014359_2,4611.0,3134.0,4.2,
WOW20014359_2,4630.0,1864.0,4.6,
WOW20014359_2,4782.0,4231.0,3.4,
WOW20014359_2,4813.0,3331.0,3.9,
WOW20014359_2,5003.0,1101.0,3.3,
WOW20014359_2,5547.0,1766.0,10.1,
