test_store,control_store,abs_perc_diff
4322,2551,1.10315
3142,2687,0.286886
1366,2592,0.716492
3204,7216,0.560469
4316,3275,0.642484
4382,1380,0.103756
5674,3242,0.911032
3969,2755,132.18
3779,2569,0.875307
2859,2340,0.158278
3567,1135,0.375462
3315,4304,0.851546
5547,4329,3.29598
1346,1288,0.738686
1113,1111,0.38689
3369,2751,0.235766
5664,7220,0.478764
2749,3163,0.595892
3281,3161,0.348853
3164,1800,55.7048
2508,3092,2.67034
1249,1348,1.21493
5601,2661,0.78365
3145,4857,0.123907
3176,1317,0.455903
2703,2600,0.616978
2663,1369,3.64925
4385,7011,0.481368
1389,5640,2.12788
2630,2601,0.381187
1645,1156,4.56326
1210,1221,0.793156
2700,4600,5.25788
4324,2898,2.61553
1034,3802,0.832396
3102,2075,0.419258
3714,2676,0.820329
1144,7208,1.08639
1209,2625,1.3206
3177,3179,0.615662
5662,1188,0.186853
3063,2621,0.132056
2619,1177,0.88789
1335,2763,0.502919
4301,3108,0.640179
3271,1092,0.610462
2890,2667,0.323933
3381,2726,0.221339
4343,3319,1.074
1087,1080,0.536545
2583,1603,0.278013
4371,1103,0.84894
3286,2665,0.406008
2538,2512,1.15116
3278,1056,2.58597
3182,3141,0.759332
4381,4366,0.784592
4155,3193,0.946854
5684,5615,0.45031
2304,2308,0.671657
2054,7222,0.698134
3002,3268,0.897966
1179,2514,1.20276
1561,3221,0.567941
1204,2555,1.0484
5731,1280,0.218613
1479,5661,0.341201
1674,1368,0.456267
3968,1422,0.734871
4325,3159,0.171562
3146,2702,0.355242
3327,7213,0.903247
2602,2646,0.344088
5612,7006,0.742361
1350,4372,0.47491
3058,5799,0.736029
